2023-07-13 18:46:00 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-07-13 18:46:00 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer using Java 19.0.1 on DESKTOP-RP5QVIC with PID 16696 (D:\Projects\Port\Java\microservices\config-server\target\classes started by zabra in D:\Projects\Port\Java\microservices)
2023-07-13 18:46:00 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-07-13 18:46:01 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=0d497f5f-275a-37ca-a404-9ea9cc80c99d
2023-07-13 18:46:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-07-13 18:46:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-07-13 18:46:02 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-13 18:46:02 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-07-13 18:46:02 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-13 18:46:02 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1788 ms
2023-07-13 18:46:02 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@65eb3597, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c7279a5, org.springframework.security.web.context.SecurityContextPersistenceFilter@fbe70d8, org.springframework.security.web.header.HeaderWriterFilter@6f930e0, org.springframework.security.web.csrf.CsrfFilter@2f9b21d6, org.springframework.security.web.authentication.logout.LogoutFilter@784d9bc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2faa55bb, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6d0290d8, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2bebd114, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7a84788f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7d2c345d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@217dc48e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@b379bc6, org.springframework.security.web.session.SessionManagementFilter@78c262ba, org.springframework.security.web.access.ExceptionTranslationFilter@14b528b6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1f129467]
