2023-06-16 13:55:35 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-16 13:55:35 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 7568f6bfbf62 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-16 13:55:35 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-16 13:55:36 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=978d5c52-6c3d-3cd6-9770-561b126197d3
2023-06-16 13:55:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-16 13:55:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-16 13:55:36 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 13:55:36 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-16 13:55:36 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 13:55:36 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1065 ms
2023-06-16 13:55:37 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2401856, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6d6f6860, org.springframework.security.web.context.SecurityContextPersistenceFilter@4ea17147, org.springframework.security.web.header.HeaderWriterFilter@35bfa1bb, org.springframework.security.web.csrf.CsrfFilter@764b14b8, org.springframework.security.web.authentication.logout.LogoutFilter@5d05f453, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@796d33eb, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2c0c4c0a, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2a4f8009, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7d42404e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5ba90d8a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@309dcdf3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@a85644c, org.springframework.security.web.session.SessionManagementFilter@68b11545, org.springframework.security.web.access.ExceptionTranslationFilter@319642db, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1d4f5506]
2023-06-16 13:55:37 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-16 13:55:37 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
